hospital_id,hem_reference_no,hospital_name,hospital_parent_type,hospital_type,hospital_sub_type,establishment_year,state_name,state_code,district_name,division_name,block_name,pincode,geo_latitude,geo_longitude,org_head_name,org_head_contact,contact_email,accreditation_board,accreditation_level,accreditation_valid_upto,delisted_from_gov_schemes,total_bed_strength,inpatient_beds,has_fully_equipped_ot,has_icu_with_ac,has_casualty,has_opd,has_hdu,has_general_ward,has_labour_room,created_at,updated_at
79212271-c452-4987-990b-2917f610086b,UPHOSPREF000001,Urban Community Health Centre Chandauli Block 1,Single,PUBLIC,PHC,1966,Uttar Pradesh,UP,Chandauli,Varanasi,Chandauli Block 1,256035,28.240043,80.200703,DR. UMESH KUMAR GAUTAM,7018916390,hospital1@gov.up.in,,FULL,2029-08-04,False,94,71,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
784ebc03-77b5-47d2-b590-bd52a5bb47d0,UPHOSPREF000002,Urban Community Health Centre Rampur Block 1,Single,PUBLIC,CHC,1957,Uttar Pradesh,UP,Rampur,Moradabad,Rampur Block 1,267993,23.79297,79.53999,DR. LAKHAN LAL,7842585065,hospital2@gov.up.in,NABH,PRE,2028-11-07,False,78,64,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
1561406f-edb3-4119-8917-d1a9f26b1447,UPHOSPREF000003,Dr. Sharma Multispeciality Hospital,Single,PRIVATE,Private,2021,Uttar Pradesh,UP,Chandauli,Varanasi,Chandauli Block 2,205626,29.288688,84.025073,DR. RAJEEV KUMAR,7921508818,hospital3@pvt.up.in,NABL,,,False,172,145,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,UPHOSPREF000004,Zonal Hospital Basti,Single,PUBLIC,Civil Hospital,1963,Uttar Pradesh,UP,Basti,Basti,Basti Block 2,250747,25.072466,81.584161,DR. SUSHIL KUMAR JAISWAL,9564343722,hospital4@gov.up.in,NABH,FULL,2027-08-02,False,83,73,False,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
18aab093-844f-4b2b-81f0-34c936832cd4,UPHOSPREF000005,Zonal Hospital Deoria,Single,PUBLIC,PHC,1953,Uttar Pradesh,UP,Deoria,Gorakhpur,Deoria Block 1,267895,29.197166,78.594273,DR. SANJAY KUMAR,7910324346,hospital5@gov.up.in,NABL,FULL,2027-04-01,False,7,4,False,False,False,True,False,False,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
6c68ced4-7801-48b9-9fd7-16063376ad14,UPHOSPREF000006,Trauma Centre Pratappur,Single,PUBLIC,District Hospital,1976,Uttar Pradesh,UP,Prayagraj,Prayagraj,Pratappur,261553,28.736685,80.145099,DR. MUKESH KUMAR,9849040313,hospital6@gov.up.in,NABL,PRE,2028-05-03,False,55,49,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
bc446fea-52b0-42fa-8703-a4ee5a3a5a90,UPHOSPREF000007,Primary Health Centre Bijauli,Single,PUBLIC,Medical College,1992,Uttar Pradesh,UP,Aligarh,Aligarh,Bijauli,229994,24.20029,81.634784,DR. PRADEEP KUMAR,7966700096,hospital7@gov.up.in,NABH,,,False,75,70,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
59a8efba-d5b6-4d65-a2f6-361f9965cae3,UPHOSPREF000008,Dr. Singh Nursing Home,Single,PRIVATE,Private,2018,Uttar Pradesh,UP,Auraiya,Kanpur,Auraiya Block 5,244141,26.277625,82.343087,DR. ARVIND KUMAR,9551065409,hospital8@pvt.up.in,NABL,,2028-12-14,False,144,135,True,True,True,True,False,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
50f6ceec-8460-4167-8d6b-3b199d81525e,UPHOSPREF000009,District Hospital Siddharthnagar,Single,PUBLIC,Medical College,1987,Uttar Pradesh,UP,Siddharthnagar,Basti,Siddharthnagar Block 4,209958,26.865832,78.144246,DR. ANIL KUMAR,8126381012,hospital9@gov.up.in,JCI,PRE,,False,78,65,True,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
87b65ca7-bf10-41ed-8229-7524f6b3a30d,UPHOSPREF000010,Sharma & Agarwal Heart Institute,Single,PRIVATE,NGO,2014,Uttar Pradesh,UP,Raebareli,Lucknow,Raebareli Block 4,219023,29.13041,81.608813,DR. SHIV KUMAR,7784185646,hospital10@pvt.up.in,NABH,FULL,,False,113,87,True,True,True,True,True,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
