hospital_license_id,hospital_id,license_name,certificate_no,issue_date,expiry_date,attachment_uri
044a9b46-ee5a-4109-84b6-984b0a15d923,79212271-c452-4987-990b-2917f610086b,Building Completion Certificate,CERT_ZBBK94MCNC,2024-08-27,2025-09-08,s3://up-ab-licenses/LIC_T9KT2BLBQF8A.pdf
7c187408-3fd2-4572-93d3-1cc3344c8f1c,79212271-c452-4987-990b-2917f610086b,Ambulance Tie-Up Certificate,CERT_OWH5L20Z01,2025-06-05,2029-03-05,s3://up-ab-licenses/LIC_NX6LTC82IT6C.pdf
47765f7a-ce2f-4d05-9b09-33bdddfd72bf,79212271-c452-4987-990b-2917f610086b,Lift Safety Certificate,CERT_C0YYJJQIYO,2021-12-08,2026-02-17,s3://up-ab-licenses/LIC_GHHIMQ2FEYJ1.pdf
875ef304-4410-428e-a861-2bd668cfeaf2,79212271-c452-4987-990b-2917f610086b,Hospital Registration Certificate,CERT_E1M2EVUV7L,2025-04-16,2028-01-29,s3://up-ab-licenses/LIC_AL9NRBMC5BE0.pdf
7e13eb9e-09b3-422a-a6e7-488f8d951caf,79212271-c452-4987-990b-2917f610086b,Pollution Control Clearance,CERT_FVAIM9JF71,2020-09-20,2024-03-27,s3://up-ab-licenses/LIC_TCASU8FD4U21.pdf
04f83c88-1c21-4f9f-a3a3-74a5f1423911,79212271-c452-4987-990b-2917f610086b,Pharmacy License,CERT_RVBF78LXM7,2021-04-22,2026-03-23,s3://up-ab-licenses/LIC_BQPP5TO8QMJ7.pdf
e40bebce-5abe-4892-8390-4b814c8ad27d,79212271-c452-4987-990b-2917f610086b,Clinical Establishment Act Registration,CERT_N9HPSZDKSL,2024-05-20,2025-02-10,s3://up-ab-licenses/LIC_X9L739OI92Z0.pdf
b74b72a1-bc34-4a80-9d0d-bc677d35fc6e,79212271-c452-4987-990b-2917f610086b,NABL Accreditation,CERT_Q4G2YSW1L3,2024-10-28,2026-05-16,s3://up-ab-licenses/LIC_X98KPVPOJBXT.pdf
37d357b1-c0ab-4350-9967-b63a1ec9cbc9,784ebc03-77b5-47d2-b590-bd52a5bb47d0,Building Completion Certificate,CERT_T6FWKJ5KTQ,2022-05-08,2027-03-28,s3://up-ab-licenses/LIC_B1RFDH8LSAQY.pdf
d4a275f5-f484-4f78-a54e-3d2aba00fb53,784ebc03-77b5-47d2-b590-bd52a5bb47d0,PCPNDT Registration,CERT_9CVFK08LN1,2021-11-12,2026-09-26,s3://up-ab-licenses/LIC_SFWQC7YRD5RF.pdf
deff3141-b74f-488d-b645-7e0f84203dc9,784ebc03-77b5-47d2-b590-bd52a5bb47d0,Ambulance Tie-Up Certificate,CERT_O9HJH8J4FQ,2021-07-02,2025-08-17,s3://up-ab-licenses/LIC_B8X2SDDJQ77V.pdf
91f6afe0-06f3-4da3-9e21-7780dc748a9d,784ebc03-77b5-47d2-b590-bd52a5bb47d0,Clinical Establishment Act Registration,CERT_IXQU825SX2,2021-08-17,2025-02-08,s3://up-ab-licenses/LIC_UXGW1003EB8H.pdf
ac02d75d-2382-4264-8607-734874d76109,1561406f-edb3-4119-8917-d1a9f26b1447,Biomedical Waste Management Certificate,CERT_VCLWJY21I5,2024-03-03,2026-05-09,s3://up-ab-licenses/LIC_TRJSA5C0LZTP.pdf
5e1c2e8a-409f-4fa6-a6e4-2e1ae9e2052a,1561406f-edb3-4119-8917-d1a9f26b1447,Building Completion Certificate,CERT_OAH1ONXZ44,2021-07-12,2024-01-11,s3://up-ab-licenses/LIC_JMHSJKKUN3GQ.pdf
8c010a81-1f94-4151-8d0b-39e752f4e165,1561406f-edb3-4119-8917-d1a9f26b1447,Clinical Establishment Act Registration,CERT_2BFYVXAQD4,2021-01-19,2022-02-11,s3://up-ab-licenses/LIC_DS6I3Y5Z5L75.pdf
