hospital_specialty_id,hospital_id,specialty_code,specialty_name,admissions_prev_fy,admissions_before_last_year
42ed4d41-6a66-4092-bc64-3c42dfc0650d,79212271-c452-4987-990b-2917f610086b,BURNS,Burns & Plastic Surgery,1232,604
440f95b0-a7c5-4de0-b1ae-d5bd41f96997,79212271-c452-4987-990b-2917f610086b,ENT,ENT,548,1327
4d78e57e-f0c9-42c3-ba54-12f1a39a9409,79212271-c452-4987-990b-2917f610086b,OPTH,Ophthalmology,440,140
604c18b3-8596-495d-955e-010d61b90acf,79212271-c452-4987-990b-2917f610086b,ORTH,Orthopaedics,470,620
a5741b22-9f63-4b79-88c8-277d76f1e39b,79212271-c452-4987-990b-2917f610086b,CARD,Cardiology,90,1553
b45511aa-ebf1-405f-992a-f127cdbce079,784ebc03-77b5-47d2-b590-bd52a5bb47d0,OPTH,Ophthalmology,1176,780
3a397edc-d9ac-4a7c-8572-9c29564c77b1,784ebc03-77b5-47d2-b590-bd52a5bb47d0,ORTH,Orthopaedics,1528,983
6b7d767a-318e-4c88-bd41-0fee9335f485,1561406f-edb3-4119-8917-d1a9f26b1447,OBG,Obstetrics & Gynaecology,1713,1465
fd5f51e7-394f-40e2-91b2-c2d43ca88703,1561406f-edb3-4119-8917-d1a9f26b1447,ORTH,Orthopaedics,1450,255
ebaa85d7-239e-47d0-9221-d48dd586c777,1561406f-edb3-4119-8917-d1a9f26b1447,PEDS,Paediatrics,971,1453
79bf6cf2-9d05-4e23-bf00-4ad8602101e8,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,MED,General Medicine,1315,212
b83efb03-8fef-436f-8787-aabb81d709dc,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,ENT,ENT,1207,1058
4b8ba813-5d52-4c7f-8007-69a93c2c3504,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,DERM,Dermatology,229,1322
2c9fb36a-700b-4aef-bdff-4a07485552d4,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,GS,General Surgery,602,1101
f570f254-8f74-4d69-a680-b72e878bf3dc,f9a0b9af-663b-4b2c-b4a9-a8a56b99a8dd,BURNS,Burns & Plastic Surgery,1779,1384
69b4a8c2-9f3d-41ca-a7f2-a8c4f80f0626,18aab093-844f-4b2b-81f0-34c936832cd4,ENT,ENT,1926,201
f5f3f6ca-5830-4e06-8c35-842f57be990d,18aab093-844f-4b2b-81f0-34c936832cd4,OBG,Obstetrics & Gynaecology,160,1746
5c790611-2281-48b2-b801-bdafa5d792f6,18aab093-844f-4b2b-81f0-34c936832cd4,MED,General Medicine,625,1475
fa726f9b-64f2-4f56-98cb-5a9bdc847b80,18aab093-844f-4b2b-81f0-34c936832cd4,OPTH,Ophthalmology,996,1092
72d386a8-ead0-40ba-8970-836f2d2412de,6c68ced4-7801-48b9-9fd7-16063376ad14,PEDS,Paediatrics,1000,1009
e451fb47-1120-4cdf-ad33-66c1d4f33c5d,6c68ced4-7801-48b9-9fd7-16063376ad14,ORTH,Orthopaedics,1733,1592
1ff90091-7673-445b-b0a4-be371e50455c,6c68ced4-7801-48b9-9fd7-16063376ad14,BURNS,Burns & Plastic Surgery,245,457
d0a09189-8cea-41a9-83cd-dec7d5c9eee8,6c68ced4-7801-48b9-9fd7-16063376ad14,OBG,Obstetrics & Gynaecology,1603,290
6459f27a-496a-4383-98e6-54153b8d1a2c,6c68ced4-7801-48b9-9fd7-16063376ad14,NEURO,Neurology,479,684
3be17199-f27f-4e2e-aa3a-e18af4cf1e43,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,PEDS,Paediatrics,294,1676
0e6b17fc-e401-4573-91be-305e85df65c8,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,OBG,Obstetrics & Gynaecology,609,1290
5d6965d6-a8a9-40c2-9ef3-e2fb6925c124,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,DERM,Dermatology,571,551
d3bce783-8043-4e7c-a66a-be8884230d90,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,GS,General Surgery,922,1699
4ffb5d05-3225-43d2-8124-765e28d65890,bc446fea-52b0-42fa-8703-a4ee5a3a5a90,ONCO,Oncology,1234,347
bac07977-6724-4c63-9e67-e5fda896b231,59a8efba-d5b6-4d65-a2f6-361f9965cae3,CARD,Cardiology,601,984
31ba185c-85b8-476b-83ec-cdf26e5e6a5b,59a8efba-d5b6-4d65-a2f6-361f9965cae3,GS,General Surgery,1388,1000
a0078972-b768-4556-a7bd-e0ed76c5e44b,59a8efba-d5b6-4d65-a2f6-361f9965cae3,MED,General Medicine,149,1116
1742b860-0b6e-4818-9634-138a6b756119,59a8efba-d5b6-4d65-a2f6-361f9965cae3,NEURO,Neurology,1960,622
2e6a09f0-39ce-447e-82ed-de36a16b9457,59a8efba-d5b6-4d65-a2f6-361f9965cae3,ORTH,Orthopaedics,663,701
2f88f0ac-b9a9-4aa6-806a-89837f9e52ca,59a8efba-d5b6-4d65-a2f6-361f9965cae3,NEPHRO,Nephrology,1986,177
2b261fc6-dec2-4cd9-8554-3eea334817fd,50f6ceec-8460-4167-8d6b-3b199d81525e,PSYCH,Psychiatry,963,1225
17390ee5-42d3-4a41-86f8-bd311c5a53c5,50f6ceec-8460-4167-8d6b-3b199d81525e,ENT,ENT,899,1222
12e009c6-17af-47dd-b129-c389265bbddb,50f6ceec-8460-4167-8d6b-3b199d81525e,ORTH,Orthopaedics,1499,1595
8d7dce7b-6663-44e1-908e-96601b29a720,50f6ceec-8460-4167-8d6b-3b199d81525e,OPTH,Ophthalmology,1700,459
0ebfcc6d-532d-41d5-be69-b65aa5d81fae,87b65ca7-bf10-41ed-8229-7524f6b3a30d,URO,Urology,1757,664
93600604-f73a-41a8-8e83-f3a4bb825863,87b65ca7-bf10-41ed-8229-7524f6b3a30d,CARD,Cardiology,1216,1097
07b54949-2635-4ee7-aad7-054aed7d1bf9,87b65ca7-bf10-41ed-8229-7524f6b3a30d,OBG,Obstetrics & Gynaecology,1183,1112
ed0284a7-b411-4ce3-94be-8a69452abe6a,d31b4920-2059-47f5-83ab-ae5df3b24e6b,GS,General Surgery,418,681
c4ae6fbd-55fc-4421-9abc-8e09a39b5733,d31b4920-2059-47f5-83ab-ae5df3b24e6b,ORTH,Orthopaedics,1553,582
38db0dec-59ba-4195-a4ad-546116d595c0,d31b4920-2059-47f5-83ab-ae5df3b24e6b,MED,General Medicine,729,819
c5e7ce48-5187-4c52-8097-1992a549513a,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,OBG,Obstetrics & Gynaecology,161,1182
11d9ba5a-385e-4630-b1d0-0029936469d3,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,URO,Urology,444,213
b7621d4f-04aa-4273-a163-309efc609dd9,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,ORTH,Orthopaedics,682,355
3cefbf7e-a6b0-4c92-9e6e-385ce2a43068,2621e5d6-3fdd-4caa-b8a8-df10690bbe49,OPTH,Ophthalmology,129,734
01a38212-9a52-408c-9b2b-7d13a4237078,95f235be-b1f5-44dd-bd72-e4ff493eed15,DERM,Dermatology,513,1292
5cf3dacf-adb3-4e1c-9924-093c439cacc6,95f235be-b1f5-44dd-bd72-e4ff493eed15,OPTH,Ophthalmology,206,1600
2bdeb1b4-169d-4a33-804c-25df575a1c82,95f235be-b1f5-44dd-bd72-e4ff493eed15,GS,General Surgery,1315,1139
4d1707b0-a92a-4588-b788-ff2edf241fc8,95f235be-b1f5-44dd-bd72-e4ff493eed15,ENT,ENT,1824,561
642ea8a0-8b83-469c-a340-d15d565c0f9c,95f235be-b1f5-44dd-bd72-e4ff493eed15,URO,Urology,601,1569
8f633d95-0360-4db9-bd82-5f92361fde93,24267565-7dcb-4f3b-b6cd-1c0f075379c0,OBG,Obstetrics & Gynaecology,814,100
87b8fecc-51e2-4aa7-a4d9-348a6f9cb600,c278f54d-0390-47b6-bda2-b51aec673c31,OPTH,Ophthalmology,826,86
49190fd7-4213-47df-9a41-92775a7e2844,c278f54d-0390-47b6-bda2-b51aec673c31,GS,General Surgery,1116,1329
e57dce9e-4989-4a51-b73f-3744b19b238c,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,CARD,Cardiology,217,574
4fd589cb-4e29-4efa-bfd3-ecd37d9a0827,e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,PSYCH,Psychiatry,1773,710
0139aa88-f01d-409e-b1b7-ad4c0c64f753,9878f087-5008-4e9a-91db-118ffc6d2f1e,GS,General Surgery,666,1626
e9b68bcb-3a6b-46eb-ac91-61b988783a52,9878f087-5008-4e9a-91db-118ffc6d2f1e,MED,General Medicine,1242,443
0ba3b3ba-4d05-4531-9e53-adaf36eb97ec,9878f087-5008-4e9a-91db-118ffc6d2f1e,ENT,ENT,1979,199
81f6423c-36b2-4ca0-af75-477bc597314a,485db366-f036-4f19-ad67-c51b84a49903,OBG,Obstetrics & Gynaecology,1993,650
1745a2f8-4fde-46db-a92c-dbab93e00339,485db366-f036-4f19-ad67-c51b84a49903,MED,General Medicine,1565,1254
6393d079-bdba-4f70-9875-8dc2bea209e6,973c72b6-a78b-45a8-b525-868353af84ea,OBG,Obstetrics & Gynaecology,1783,1528
eb00abd1-820c-4c9b-8082-029c094cce66,973c72b6-a78b-45a8-b525-868353af84ea,MED,General Medicine,1130,475
ff61eef3-6156-4a33-b655-c16b04e82cae,973c72b6-a78b-45a8-b525-868353af84ea,OPTH,Ophthalmology,461,98
67356432-5534-4ad9-b526-b11c644bcd27,058fe129-afd7-4499-9973-cdcad110e8a3,ONCO,Oncology,628,671
fac2c398-4b8c-4e1c-a6f9-2864f950dc52,058fe129-afd7-4499-9973-cdcad110e8a3,GS,General Surgery,1601,799
3c4fb314-6223-4f00-a99d-457e3a1cedef,7517a147-10ac-4547-a6e5-398e0aec8db6,OBG,Obstetrics & Gynaecology,345,577
f2f0768c-4add-4a49-8adb-083c510f4b2f,7517a147-10ac-4547-a6e5-398e0aec8db6,OPTH,Ophthalmology,1942,1219
3dfc0daa-4571-452b-921f-0b664f284493,7517a147-10ac-4547-a6e5-398e0aec8db6,CARD,Cardiology,642,279
c19a4f8d-b710-49d8-9fce-2f5ddc70c1ce,7517a147-10ac-4547-a6e5-398e0aec8db6,ORTH,Orthopaedics,1670,161
638df95f-9e1a-415a-b020-6a2a07a89564,be9655cd-9695-463d-a93c-4ee77f4c34e6,OBG,Obstetrics & Gynaecology,1880,424
8238e5e9-b100-4c36-819f-d0773b2a19a9,be9655cd-9695-463d-a93c-4ee77f4c34e6,OPTH,Ophthalmology,160,1256
25c3e98d-36b4-4582-8fff-7489ada7c642,be9655cd-9695-463d-a93c-4ee77f4c34e6,PEDS,Paediatrics,299,283
1c957381-5da3-4b1f-8da4-6a2e1f8276b0,be9655cd-9695-463d-a93c-4ee77f4c34e6,GS,General Surgery,561,1114
50f7be13-cae3-4ac6-ac6d-9af24961ba5d,91f99c76-03d3-4e2a-82f0-e10b815f00b9,OPTH,Ophthalmology,1562,941
ebfa3865-78bf-4b20-8280-95ff1db6121b,91f99c76-03d3-4e2a-82f0-e10b815f00b9,CARD,Cardiology,1480,1735
1d22ad37-b8cc-4c08-886d-b89a0f9f2370,20439481-0474-4d67-b71e-4556ab11eec7,MED,General Medicine,1703,1573
56f46fa4-f51d-4cd5-bfbc-a2802ed27e94,20439481-0474-4d67-b71e-4556ab11eec7,PEDS,Paediatrics,1972,1072
958c2553-2a39-4c31-9196-adae39aabc53,20439481-0474-4d67-b71e-4556ab11eec7,NEURO,Neurology,1180,630
b2b771f4-d4fd-4277-801c-133fc25e07a8,20439481-0474-4d67-b71e-4556ab11eec7,CARD,Cardiology,692,905
e76d06b9-5209-424c-be68-2d818ab90afc,f42e3415-07e8-4f42-8fde-494bab346766,MED,General Medicine,265,103
3d16b9b4-13c1-4de9-bdcf-0c507ba6b550,f42e3415-07e8-4f42-8fde-494bab346766,OBG,Obstetrics & Gynaecology,1316,1514
d26a941e-ca4f-4180-805a-cf9d26a10818,f42e3415-07e8-4f42-8fde-494bab346766,URO,Urology,1969,960
88742118-4d3f-4bde-a863-c9af4d2484a9,f42e3415-07e8-4f42-8fde-494bab346766,ORTH,Orthopaedics,80,1510
bbfa2ca2-d7c8-4043-93d9-f80fa88159e8,f42e3415-07e8-4f42-8fde-494bab346766,OPTH,Ophthalmology,158,1135
9e39efc4-1847-4104-b914-09f907387976,824bb4d8-1753-491b-b8c1-0e2edc738286,OBG,Obstetrics & Gynaecology,1802,860
5fc9d965-b63e-4c74-83ed-bca574333f60,824bb4d8-1753-491b-b8c1-0e2edc738286,ORTH,Orthopaedics,472,134
4f0ea9dc-d655-4bae-a8d9-0dba997fcf86,824bb4d8-1753-491b-b8c1-0e2edc738286,OPTH,Ophthalmology,844,397
c0c1d2af-9497-4b3e-8f04-7d3e5846220d,824bb4d8-1753-491b-b8c1-0e2edc738286,CARD,Cardiology,603,282
fdda1382-b3f8-48af-bc17-cd92e86c7381,f9cf7cc9-66f4-4e4d-9eb2-c42e95a2cf4d,ORTH,Orthopaedics,1434,176
79e5dcf3-c9c1-4886-840a-b3045774cc28,f9cf7cc9-66f4-4e4d-9eb2-c42e95a2cf4d,PSYCH,Psychiatry,1427,443
9cd68b64-8a86-472e-b5be-b5bd9f44ac09,f9cf7cc9-66f4-4e4d-9eb2-c42e95a2cf4d,CARD,Cardiology,593,635
35d6c75c-1319-4a68-9dd6-b9150c93c3b8,f9cf7cc9-66f4-4e4d-9eb2-c42e95a2cf4d,GS,General Surgery,1152,1731
f78581b5-c724-4789-ae3f-a66f70f24e61,f9cf7cc9-66f4-4e4d-9eb2-c42e95a2cf4d,MED,General Medicine,1020,163
bcbe48f7-7c43-435b-aef6-b439b6df0971,a4af1771-116a-403f-976a-2598d16ab6d5,CARD,Cardiology,1901,924
b89612d7-798b-4b88-a507-04fbff70d568,a4af1771-116a-403f-976a-2598d16ab6d5,BURNS,Burns & Plastic Surgery,1551,720
69a4b47c-2a2a-4ed8-91b0-e77830e6da22,a4af1771-116a-403f-976a-2598d16ab6d5,GS,General Surgery,1282,1493
