state_code,state_name,division_name,district_name,block_name
UP,Uttar Pradesh,Agra,Agra,Achhnera
UP,Uttar Pradesh,Agra,Agra,Akola
UP,Uttar Pradesh,Agra,Agra,Bah
UP,Uttar Pradesh,Agra,Agra,Barauli Ahir
UP,Uttar Pradesh,Agra,Agra,Bichpuri
UP,Uttar Pradesh,Agra,Agra,Etmadpur
UP,Uttar Pradesh,Agra,Agra,Fatehabad
UP,Uttar Pradesh,Agra,Agra,Jagner
UP,Uttar Pradesh,Agra,Agra,Kheragarh
UP,Uttar Pradesh,Agra,Agra,Kiraoli
UP,Uttar Pradesh,Agra,Agra,Pinahat
UP,Uttar Pradesh,Agra,Agra,Samsabad
UP,Uttar Pradesh,Agra,Agra,Shamsabad
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 1
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 2
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 3
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 4
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 5
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 6
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 7
UP,Uttar Pradesh,Agra,Firozabad,Firozabad Block 8
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 1
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 2
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 3
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 4
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 5
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 6
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 7
UP,Uttar Pradesh,Agra,Mainpuri,Mainpuri Block 8
UP,Uttar Pradesh,Agra,Mathura,Baldeo
UP,Uttar Pradesh,Agra,Mathura,Chhata
UP,Uttar Pradesh,Agra,Mathura,Chaumuhan
UP,Uttar Pradesh,Agra,Mathura,Farah
UP,Uttar Pradesh,Agra,Mathura,Govardhan
UP,Uttar Pradesh,Agra,Mathura,Mant
UP,Uttar Pradesh,Agra,Mathura,Mathura
UP,Uttar Pradesh,Agra,Mathura,Nandgaon
UP,Uttar Pradesh,Agra,Mathura,Naujheel
UP,Uttar Pradesh,Agra,Mathura,Raya
UP,Uttar Pradesh,Aligarh,Aligarh,Atrauli
UP,Uttar Pradesh,Aligarh,Aligarh,Bijauli
UP,Uttar Pradesh,Aligarh,Aligarh,Chandaus
